id,name,brewery_id,style,availability,abv
323085,Ski Jeans,25667,American IPA,Rotating,7.5
312838,Coco Van-Nutzilla,48017,American Stout,Rotating,6.0
198052,Negative Space,39953,English Sweet / Milk Stout,Rotating,9.5
329817,Village Idiot,44928,Rye Beer,Rotating,9.0
128074,Lily & Seamus (sour Mash Version),30380,American Pale Wheat Ale,Summer,6.0
341289,Mind,51758,American IPA,Limited (brewed once),8.0
234301,Jolly Irishman Stout,45944,American Stout,Rotating,5.0
267251,Pleasant Valley Pale Ale,10284,American Pale Ale (APA),Rotating,5.8
310892,Little Jack,29656,American Strong Ale,Limited (brewed once),14.3
326420,Boyd's Barrel #4,31795,American Imperial Stout,Limited (brewed once),7.4
226467,Wibby Weizen Hefeweizen,40952,German Hefeweizen,Rotating,5.9
360694,Tropsicle,37507,American IPA,Rotating,4.5
336157,Raspberry And Cream Double FroYo IPA,51758,American Imperial IPA,Rotating,8.0
349943,Holy Mother of God,48264,Belgian Strong Dark Ale,Rotating,10.5
20369,Freestyle Wheat Beer,10284,American Pale Wheat Ale,Year-round,4.7
330963,St Arnold Orange Show,337,American Blonde Ale,Limited (brewed once),5.6
359407,Rio De Blanc,27934,American Wild Ale,Limited (brewed once),6.5
359397,Watermelon Mint Finkle,25667,Berliner Weisse,Limited (brewed once),3.0
121680,Agnus Dei,34765,Belgian Witbier,Rotating,5.7
